,name,screen_name,created_at,followers_count,friends_count,statuses_count,retweets_count,total_likes
0,Paul Kagame,PaulKagame,2009-05-04 05:16:24,1984011,181,2862,71336,318477
1,Abdelfattah Elsisi,AlsisiOfficial,2014-03-30 15:50:56,4107367,0,2750,175547,1856386
2,Muhammadu Buhari,MBuhari,2014-12-22 08:56:35,3271853,26,4734,23014,91139
3,Yoweri K Museveni,KagutaMuseveni,2010-03-27 15:08:09,1813259,28,6644,24144,162682
4,jdwtweet,SAPresident,2019-03-04 09:59:11,18,14,19,851,0
5,Nana Akufo-Addo,NAkufoAddo,2011-02-04 10:14:22,1508012,352,7097,112720,572841
6,Dr John Magufuli,MagufuliJP,2015-07-16 04:46:06,868485,8,225,67839,450776
7,Macky Sall,Macky_Sall,2010-10-01 17:05:26,1375456,171,2796,12695,87951
8,President Paul BIYA,PR_Paul_BIYA,2011-05-18 19:09:10,675483,187,5389,9060,41109
9,Ali Bongo Ondimba,PresidentABO,2015-02-08 18:11:21,173549,4,1738,7638,32767
10,Pierre Nkurunziza,pnkurunziza,2012-01-29 20:55:14,173347,15,470,21397,44864
11,Roch KABORE,rochkaborepf,2015-07-01 15:42:09,256260,151,4496,1913,12024
12,Beji Caid Essebsi,BejiCEOfficial,2014-09-09 07:44:06,29432,15,2411,490,89
13,Alpha Condé,Prof_AlphaConde,2012-09-25 15:41:07,62841,1,5158,651,6024
14,Faure E. Gnassingbe,FEGnassingbe,2014-10-02 07:57:05,114693,82,1585,4377,16361
15,Issoufou Mahamadou,IssoufouMhm,2016-01-17 16:40:36,116264,17,349,8334,48982
